seqid	sample	count	relab	domain	phylum	class	order	family	genus	species
c644dd2fe8dd44028035444047c3d983	P28309_1061	18	1.9779350358226013e-4	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA
c644dd2fe8dd44028035444047c3d983	P28309_1062	12	2.3117378489279317e-4	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA
c644dd2fe8dd44028035444047c3d983	P28309_1063	43	4.7068610709750865e-4	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA
042b34a8f37f53061dcd02f4e9dcf913	P28309_1061	402	0.004417388246670476	Bacteria	Bacillota	Desulfotomaculia	Desulfotomaculales	Pelotomaculaceae	NA	NA
042b34a8f37f53061dcd02f4e9dcf913	P28309_1062	33	6.357279084551812e-4	Bacteria	Bacillota	Desulfotomaculia	Desulfotomaculales	Pelotomaculaceae	NA	NA
042b34a8f37f53061dcd02f4e9dcf913	P28309_1063	138	0.0015105740181268882	Bacteria	Bacillota	Desulfotomaculia	Desulfotomaculales	Pelotomaculaceae	NA	NA
342a3ef64d608c95e91b03877008781d	P28309_1061	249	0.002736143466221265	Bacteria	Bacillota	Peptococcia	DRI-13	DRI-13	Thermanaerosceptrum	Thermanaerosceptrum fracticalcis
342a3ef64d608c95e91b03877008781d	P28309_1062	78	0.0015026296018031556	Bacteria	Bacillota	Peptococcia	DRI-13	DRI-13	Thermanaerosceptrum	Thermanaerosceptrum fracticalcis
342a3ef64d608c95e91b03877008781d	P28309_1063	219	0.0023972152896361487	Bacteria	Bacillota	Peptococcia	DRI-13	DRI-13	Thermanaerosceptrum	Thermanaerosceptrum fracticalcis
03b56ee00b664cdac64fdb6b49c5d4bc	P28309_1061	195	0.0021427629554744846	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Filifactoraceae	Acetoanaerobium	Acetoanaerobium sticklandii
03b56ee00b664cdac64fdb6b49c5d4bc	P28309_1062	88	0.00169527442254715	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Filifactoraceae	Acetoanaerobium	Acetoanaerobium sticklandii
03b56ee00b664cdac64fdb6b49c5d4bc	P28309_1063	258	0.002824116642585052	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Filifactoraceae	Acetoanaerobium	Acetoanaerobium sticklandii
cd7efca9922776c5e704b1cc389f5f1f	P28309_1061	142	0.0015603709727044965	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Bact-08	Bact-08 sp003542575
cd7efca9922776c5e704b1cc389f5f1f	P28309_1062	72	0.0013870427093567589	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Bact-08	Bact-08 sp003542575
cd7efca9922776c5e704b1cc389f5f1f	P28309_1063	322	0.003524672708962739	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Bact-08	Bact-08 sp003542575
ce6ca56f80d5857e1c95e72b64d4086c	P28309_1061	116	0.0012746692453078985	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	NA
ce6ca56f80d5857e1c95e72b64d4086c	P28309_1062	73	0.0014063071914311583	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	NA
ce6ca56f80d5857e1c95e72b64d4086c	P28309_1063	265	0.0029007399623451114	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	NA
f24d1ec45b23e8063be820ce650c2ce6	P28309_1061	213	0.0023405564590567446	Bacteria	NA	NA	NA	NA	NA	NA
f24d1ec45b23e8063be820ce650c2ce6	P28309_1062	91	0.001753067868770348	Bacteria	NA	NA	NA	NA	NA	NA
f24d1ec45b23e8063be820ce650c2ce6	P28309_1063	229	0.002506677175007662	Bacteria	NA	NA	NA	NA	NA	NA
be5f7561425c2fdf15e1347047e3a7ba	P28309_1063	12	1.3135426244581636e-4	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA
9cf056db67aa7558721f7ace594e9aa3	P28309_1061	179	0.001966946507845809	Bacteria	Bacillota	Clostridia	Eubacteriales	Alkalibacteraceae	Alkalibacter	Alkalibacter saccharofermentans
9cf056db67aa7558721f7ace594e9aa3	P28309_1062	54	0.0010402820320175692	Bacteria	Bacillota	Clostridia	Eubacteriales	Alkalibacteraceae	Alkalibacter	Alkalibacter saccharofermentans
9cf056db67aa7558721f7ace594e9aa3	P28309_1063	253	0.0027693856998992953	Bacteria	Bacillota	Clostridia	Eubacteriales	Alkalibacteraceae	Alkalibacter	Alkalibacter saccharofermentans
842b418f75998883e9fcb5d4bc396539	P28309_1061	162	0.001780141532240341	Bacteria	Bacillota	Desulfotomaculia	Ammonifexales	Desulforudaceae	Desulforudis	Desulforudis audaxviator
842b418f75998883e9fcb5d4bc396539	P28309_1062	142	0.002735556454564719	Bacteria	Bacillota	Desulfotomaculia	Ammonifexales	Desulforudaceae	Desulforudis	Desulforudis audaxviator
842b418f75998883e9fcb5d4bc396539	P28309_1063	165	0.001806121108629975	Bacteria	Bacillota	Desulfotomaculia	Ammonifexales	Desulforudaceae	Desulforudis	Desulforudis audaxviator
f62ddaf357bd1f87d1e49e1f67ed2754	P28309_1061	8	8.790822381433783e-5	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	UBA6170	UBA6170 sp002841995
f62ddaf357bd1f87d1e49e1f67ed2754	P28309_1063	6	6.567713122290818e-5	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	UBA6170	UBA6170 sp002841995
79b5b618f251890b712f5a76461d409f	P28309_1063	16	1.7513901659442182e-4	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Methyloversatilis	Methyloversatilis sp018824085
b0eed8ee8283f0e85f690975c3570d1d	P28309_1061	98	0.0010768757417256385	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Bact-08	Bact-08 sp003542575
b0eed8ee8283f0e85f690975c3570d1d	P28309_1062	70	0.00134851374520796	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Bact-08	Bact-08 sp003542575
b0eed8ee8283f0e85f690975c3570d1d	P28309_1063	276	0.0030211480362537764	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Bact-08	Bact-08 sp003542575
e3781e74b0f4b2bbf7b0a9c3d0a70dfa	P28309_1061	127	0.001395543053052613	Bacteria	Bacillota	Clostridia	NA	NA	NA	NA
e3781e74b0f4b2bbf7b0a9c3d0a70dfa	P28309_1062	67	0.0012907202989847618	Bacteria	Bacillota	Clostridia	NA	NA	NA	NA
e3781e74b0f4b2bbf7b0a9c3d0a70dfa	P28309_1063	248	0.0027146547572135383	Bacteria	Bacillota	Clostridia	NA	NA	NA	NA
91817edabd5d2aeddb1fa1507a0bcf3b	P28309_1063	17	1.860852051315732e-4	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	NA
b891e57adfb270bf286f241f30cd9ea8	P28309_1061	119	0.0013076348292382753	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium japonicum
b891e57adfb270bf286f241f30cd9ea8	P28309_1062	26	5.008765339343851e-4	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium japonicum
b891e57adfb270bf286f241f30cd9ea8	P28309_1063	127	0.0013901659442182232	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium japonicum
0e8e240a922d6c85d818bd823fed4751	P28309_1061	5	5.494263988396114e-5	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Limnobacter	NA
59452095532c5c3adf3a82795b8657ab	P28309_1061	184	0.00202188914772977	Bacteria	Bacillota	Clostridia	Acetivibrionales	DTU013	MnB-11	MnB-11 sp012027035
59452095532c5c3adf3a82795b8657ab	P28309_1062	55	0.0010595465140919686	Bacteria	Bacillota	Clostridia	Acetivibrionales	DTU013	MnB-11	MnB-11 sp012027035
59452095532c5c3adf3a82795b8657ab	P28309_1063	175	0.0019155829940014886	Bacteria	Bacillota	Clostridia	Acetivibrionales	DTU013	MnB-11	MnB-11 sp012027035
